"GeneID";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"GeneName";"aaRS";"color"
"SAOUHSC_T0002";475,813899286511;0,674842788579909;0,624672540699573;1,08031447616402;0,280002165521691;0,367822249136323;"trnaA";FALSE;"grey"
"SAOUHSC_T00020";30,102618375072;-1,05031043084085;1,09767054113579;-0,956853984396876;0,338640959775009;0,431041091784103;"trnaE";FALSE;"grey"
"SAOUHSC_T00021";346,070316145404;-0,415282822256266;0,769491012507516;-0,539685084693838;0,589414227827772;0,668344905932403;"trnaG";FALSE;"grey"
"SAOUHSC_T00022";308,360879890468;0,0993289094301038;0,736189222639004;0,134923069199575;0,892672699743177;0,922001447808758;"trnaG";FALSE;"grey"
"SAOUHSC_T00023";2802,84140999177;0,317964689873216;0,638478536895512;0,498003725261091;0,618481416497687;0,69382554311779;"trnaG";FALSE;"grey"
"SAOUHSC_T00024";37,6210467098943;1,50790730747712;0,596308905201463;2,52873518125253;0,0114474363808985;0,023364730225192;"trnaG";FALSE;"red"
"SAOUHSC_T00025";396,011775005631;0,854726435889077;0,704458156893778;1,2133104394133;0,225011153114177;0,306629548464012;"trnaG";FALSE;"grey"
"SAOUHSC_T00026";998,457018629851;-0,458431520641832;0,705211308869714;-0,650062633534038;0,515651764634734;0,601923848175842;"trnaH";FALSE;"grey"
"SAOUHSC_T00027";1671,87409086251;0,0143263988741272;0,817818241351112;0,0175178274948461;0,986023510744223;0,988916135638229;"trnaH";FALSE;"grey"
"SAOUHSC_T00029";1135,29862139923;0,852587603871283;0,687499443308618;1,24012842798559;0,214927895686578;0,295688025504423;"-";FALSE;"grey"
"SAOUHSC_T0003";1436,47814528725;1,02288056828726;0,676090837256278;1,51293363542439;0,130296517065686;0,193885187254979;"-";FALSE;"grey"
"SAOUHSC_T00030";213,762696968691;0,500066022573792;0,645725406576917;0,774425192938766;0,438679390297678;0,529007113079431;"trnaL";FALSE;"grey"
"SAOUHSC_T00031";6332,50465668399;-2,63603218191924;0,842964766097109;-3,12709651451265;0,00176541961363091;0,00448321508196893;"trnaL";FALSE;"red"
"SAOUHSC_T00032";389,519829343195;0,793915978616307;0,64803545393056;1,22511194997269;0,220533043310547;0,301578936727174;"trnaL";FALSE;"grey"
"SAOUHSC_T00033";1962,39796926068;-0,134588768847313;1,41207986508571;-0,095312433931734;0,924066666767943;0,944440333935099;"trnaL";FALSE;"grey"
"SAOUHSC_T00034";77,0696344131774;0,0575552821500558;0,436355563596933;0,131899961755089;0,895063418879651;0,923773000239942;"trnaL";FALSE;"grey"
"SAOUHSC_T00035";618,071577378715;-0,662524948714169;0,708353717171799;-0,935302423991495;0,349632466456158;0,440665804496587;"trnaK";FALSE;"grey"
"SAOUHSC_T00036";699,653143921341;0,132668260655091;0,819888536324021;0,161812557167722;0,871453464175085;0,903497052509044;"trnaK";FALSE;"grey"
"SAOUHSC_T00038";554,660521145417;-2,07122286319112;0,811531094630666;-2,55224091460568;0,0107032480882592;0,0220266241695928;"trnaM";FALSE;"red"
"SAOUHSC_T00039";922,297593471793;0,0610990812038557;0,906628920419312;0,0673914981397214;0,946270037305072;0,95978067172142;"trnaM";FALSE;"grey"
"SAOUHSC_T0004";1584,13287345429;0,159096624495027;0,598779486927335;0,265701527805234;0,79046908664903;0,834723147484594;"trnaR";FALSE;"grey"
"SAOUHSC_T00041";3807,71741337807;0,501595469229929;0,645876502253923;0,776612041898885;0,437387694816788;0,527914980284164;"trnaM";FALSE;"grey"
"SAOUHSC_T00042";871,301435784661;-0,448836485135662;0,540774315665117;-0,829988540753128;0,406545262618666;0,497050198150224;"trnaF";FALSE;"grey"
"SAOUHSC_T00044";321,764619570105;-1,21528981366538;0,591470409820305;-2,05469249769333;0,0399087150391492;0,0702383112175503;"trnaP";FALSE;"grey"
"SAOUHSC_T00045";585,403525743412;-0,444469175073327;0,577154561841011;-0,770104239764747;0,441238061231912;0,531285168873415;"trnaP";FALSE;"grey"
"SAOUHSC_T00048";2499,05575943921;0,54025948353662;0,545228824301941;0,990885770260435;0,321741361441732;0,414295020500536;"-";FALSE;"grey"
"SAOUHSC_T00049";305,193646379937;-1,46656954190786;1,55394834839102;-0,9437698128296;0,345287289798078;0,436764706972055;"trnaS";FALSE;"grey"
"SAOUHSC_T0005";210,936503271289;-1,22029120022808;0,288101556926004;-4,23562862085297;2,27913198048488e-05;8,85429824804851e-05;"trnaR";FALSE;"red"
"SAOUHSC_T00050";202,848115409627;-1,59992340957431;0,659119758483606;-2,42736375139951;0,0152089983206236;0,0302081411814854;"trnaS";FALSE;"red"
"SAOUHSC_T00051";1851,48674702103;1,46321241566288;0,686621874652513;2,13103087693409;0,0330865985213336;0,0596518437414946;"trnaS";FALSE;"grey"
"SAOUHSC_T00053";1067,15546113834;0,491817558312908;0,712828023383801;0,689952614346228;0,49022398693504;0,578413548001438;"trnaT";FALSE;"grey"
"SAOUHSC_T00054";937,315763136413;1,48789445773224;0,388406355225886;3,83076753949334;0,00012774415008835;0,000414749766045465;"trnaT";FALSE;"red"
